Grado,Tiempo_Estandar(ms),Tiempo_Horner(ms)
10,0.9999,0
20,0,0
30,1.0005,0
40,1.0001,0
50,0,0
60,1.0021,0
70,1.0251,1.002
80,0.9998,0
90,0.9998,0
100,1.9988,0.9961
110,1.3223,1.0021
120,2.2977,1.1394
130,2.004,0.9972
140,3.4113,0.9982
150,1.4364,0.9999
160,1.9978,0.9974
170,2.9999,2.2896
180,1.0019,0.9975
190,3.0052,1.0002
200,3.0287,0.9999
210,0,0.9973
220,3.0084,0.9998
230,3.4639,0
240,4.9994,0
250,7.3452,0
260,5.3623,0.9996
270,4.0084,0.988
280,3.0133,0
290,4.0076,0
300,7.0036,1.0015
310,6.0011,0.9998
320,7.2037,0
330,5.0009,1.9963
340,7.2074,0
350,2.9993,1.0039
360,7.7226,1.9974
370,6.57,2.0076
380,5.9984,0.9961
390,3.3736,2.0196
400,5.0027,2.1232
410,4.1504,2.2283
420,6.0006,2.0085
430,6.9998,1.0077
440,4.0674,4.998
450,11.1993,0
460,10.6202,1.0001
470,1.997,1.0964
480,8.0863,0
490,5.4519,0
500,6.0256,2.0094
510,9.0093,2.0079
520,8.0968,3.9993
530,7.517,2.9964
540,9.3689,0
550,9.1616,0
560,9.2605,4.0729
570,10.6073,0
580,8.0231,3.1091
590,11.0726,0
600,8.5786,2.1964
610,11.4985,3.388
620,8.9966,2.1252
630,10.0155,1.2647
640,10.4434,1.995
650,7.0148,3.9998
660,14.1423,0.9984
670,11.0267,2.9977
680,10.9986,1.2133
690,12.4632,1.9996
700,10.4375,3.5022
710,11.0022,3.0375
720,6.874,1.1178
730,10.4547,2
740,15.2387,0.9997
750,13.1086,3.0677
760,12.5117,1.9998
770,15.063,0.9999
780,13.4501,2.0004
790,12.3165,6.5317
800,11.2456,4.0002
810,16.5894,2.003
820,15.9923,4.0021
830,13.9885,3.0055
840,13.1552,5.5285
850,18.481,3.9997
860,17.9808,2.0043
870,15.6352,2.5063
880,21.2025,0.9999
890,15.5343,3.0053
900,20.2524,3.9998
910,14.0576,2.0002
920,16.9995,2.9964
930,15.1916,3.9985
940,20.4948,4.0004
950,17.3797,5.0062
960,19.0228,3.9992
970,18.0088,2.0008
980,15.0147,3.5022
990,18.0079,2.2137
1000,14.6793,5.0092
